index_id,x_rel,y_rel
00,0.082197439,0.07980255
01,0.496902107,0.088852324
02,0.909128459,0.081447964
03,0.233787691,0.227889757
04,0.497728211,0.230357877
05,0.763320942,0.224187577
06,0.380008261,0.371452077
07,0.500619579,0.370218017
08,0.622470054,0.371863431
09,0.083436596,0.496503497
10,0.232135481,0.49568079
11,0.376703841,0.492801316
12,0.624535316,0.49197861
13,0.765386204,0.49197861
14,0.914498141,0.49197861
15,0.379595209,0.616207322
16,0.501445684,0.614973262
17,0.627013631,0.614973262
18,0.233787691,0.761415056
19,0.502271789,0.758535582
20,0.769929781,0.760180995
21,0.087567121,0.915261209
22,0.501445684,0.899629782
23,0.917802561,0.907034142
