epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.776,0.62008,2.23403,1.2044,1,1,0.995,0.92222,0.46201,2.91024,1.25024,0.00016,0.00016,0.00016
2,46.5597,0.65693,1.24182,1.24185,1,1,0.995,0.89393,0.5691,2.7784,1.34028,0.000335191,0.000335191,0.000335191
3,56.5176,0.6142,0.95045,1.15126,1,1,0.995,0.82322,0.94174,2.57832,1.89259,0.000505291,0.000505291,0.000505291
4,66.1644,0.5898,0.88056,1.14278,1,1,0.995,0.90154,0.68369,2.23371,1.51495,0.0006703,0.0006703,0.0006703
5,75.8837,0.58055,0.86284,1.10768,1,1,0.995,0.84091,1.05367,2.35617,1.77492,0.000830217,0.000830217,0.000830217
6,85.7007,0.60509,0.81553,1.13479,1,1,0.995,0.81917,0.939,2.57715,1.66236,0.000985043,0.000985043,0.000985043
7,95.3266,0.57631,0.76796,1.1053,1,1,0.995,0.84291,0.87409,2.19628,1.6946,0.00113478,0.00113478,0.00113478
8,105.231,0.60849,0.75551,1.12149,1,1,0.995,0.81917,0.97917,1.97177,1.92289,0.00127942,0.00127942,0.00127942
9,115.923,0.59631,0.72102,1.10856,1,1,0.995,0.82372,0.98187,2.03602,1.81345,0.00141897,0.00141897,0.00141897
10,126.893,0.63766,0.74656,1.1548,1,0.9697,0.9848,0.8333,0.94195,1.89383,1.78406,0.00155343,0.00155343,0.00155343
11,137.9,0.57324,0.67863,1.10831,1,0.90909,0.9545,0.81209,0.96928,1.61084,1.84838,0.0016828,0.0016828,0.0016828
12,149.322,0.61481,0.66275,1.12554,1,0.90909,0.9545,0.78785,0.98111,1.66686,1.98782,0.00168886,0.00168886,0.00168886
13,161.146,0.58489,0.6525,1.11745,1,0.84848,0.9242,0.74543,1.41478,2.55885,2.44986,0.00166057,0.00166057,0.00166057
