epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.061,0.82808,3.07065,0.95439,0.01579,0.74162,0.30523,0.23971,0.65839,3.09008,0.86114,0.0001667,0.0001667,0.0001667
2,256.09,0.76841,1.53482,0.92214,0.98284,0.40282,0.77316,0.62388,0.70698,2.64171,0.83118,0.000346604,0.000346604,0.000346604
3,382.816,0.74612,1.05617,0.89746,0.9756,0.51148,0.86788,0.68136,0.72421,2.61876,0.86203,0.000522878,0.000522878,0.000522878
4,478.811,0.70768,1.03573,0.91425,0.01918,0.89152,0.85307,0.69416,0.74558,2.71969,0.88294,0.000695521,0.000695521,0.000695521
5,568.602,0.71742,0.87613,0.90735,1,0.26611,0.94499,0.78398,0.65845,2.39784,0.89092,0.000864533,0.000864533,0.000864533
6,669.046,0.70529,0.87206,0.90496,0.97894,0.48461,0.97505,0.77065,0.70935,2.13458,0.92653,0.00102991,0.00102991,0.00102991
7,780.385,0.75861,0.84958,0.90957,1,0.55153,0.98354,0.80162,0.74113,2.07679,0.91272,0.00119166,0.00119166,0.00119166
8,897.086,0.73631,0.81722,0.91574,0.99334,0.89857,0.98797,0.79669,0.7524,1.5028,0.91263,0.00134978,0.00134978,0.00134978
9,983.903,0.70615,0.79934,0.90801,0.9619,0.91739,0.97975,0.7887,0.70798,1.46314,0.93006,0.00150427,0.00150427,0.00150427
10,1071.34,0.69551,0.76378,0.90108,0.98511,0.98611,0.99446,0.82708,0.62702,0.85267,0.88371,0.00151847,0.00151847,0.00151847
11,1156.56,0.69307,0.74001,0.90155,0.99357,0.98589,0.99464,0.84942,0.6218,0.76877,0.87556,0.00150197,0.00150197,0.00150197
12,1243.21,0.63546,0.72054,0.89137,0.97881,1,0.99459,0.81379,0.69434,0.63663,0.90022,0.00148546,0.00148546,0.00148546
13,1330.41,0.65779,0.69072,0.8944,0.99127,0.99306,0.9948,0.84782,0.60879,0.59685,0.90131,0.00146896,0.00146896,0.00146896
14,1429.65,0.6865,0.77276,0.91398,0.98814,1,0.99493,0.8169,0.66043,0.67455,0.91185,0.00145246,0.00145246,0.00145246
15,1519.37,0.68569,0.67439,0.89737,0.99174,0.99882,0.99493,0.85405,0.59152,0.53592,0.88185,0.00143595,0.00143595,0.00143595
16,1605.81,0.62343,0.64973,0.88326,0.99149,0.99877,0.99493,0.84168,0.60434,0.52677,0.8651,0.00141945,0.00141945,0.00141945
17,1696.21,0.61473,0.62315,0.88513,0.98954,0.98731,0.99474,0.85008,0.59616,0.5238,0.88986,0.00140295,0.00140295,0.00140295
18,1796.47,0.62801,0.58103,0.87285,1,0.9895,0.995,0.84781,0.59439,0.51331,0.87224,0.00138644,0.00138644,0.00138644
19,1894.01,0.6263,0.5821,0.87452,0.99363,0.99938,0.99494,0.84674,0.58436,0.50859,0.87065,0.00136994,0.00136994,0.00136994
20,2011.09,0.59983,0.5608,0.88095,0.99842,0.99996,0.995,0.86241,0.55535,0.49082,0.85508,0.00135344,0.00135344,0.00135344
21,2108.87,0.60468,0.57032,0.8791,0.99773,0.99306,0.99493,0.85678,0.54963,0.62002,0.85177,0.00133693,0.00133693,0.00133693
22,2207.78,0.58071,0.5604,0.88048,0.999,1,0.995,0.85351,0.56709,0.44881,0.87015,0.00132043,0.00132043,0.00132043
23,2315.43,0.58973,0.54556,0.87162,0.99881,1,0.995,0.85038,0.59665,0.47016,0.8638,0.00130393,0.00130393,0.00130393
24,2415.44,0.59546,0.56806,0.88785,0.99497,0.99914,0.995,0.85427,0.5622,0.43658,0.87805,0.00128742,0.00128742,0.00128742
25,2518.38,0.59131,0.53369,0.87676,0.99902,0.99808,0.995,0.83726,0.60153,0.45313,0.86793,0.00127092,0.00127092,0.00127092
26,2616.93,0.58202,0.52712,0.87623,0.9992,0.99923,0.995,0.8486,0.57212,0.43644,0.86972,0.00125442,0.00125442,0.00125442
27,2720.88,0.57059,0.51753,0.86391,0.99742,0.99377,0.995,0.85086,0.54699,0.41553,0.86314,0.00123791,0.00123791,0.00123791
28,2824.46,0.58726,0.50967,0.87761,0.99515,0.99944,0.995,0.86629,0.5484,0.40418,0.86387,0.00122141,0.00122141,0.00122141
29,2917.72,0.59296,0.50805,0.86935,0.9958,0.99949,0.995,0.85086,0.60145,0.40551,0.86894,0.00120491,0.00120491,0.00120491
30,3021.68,0.5732,0.49508,0.87023,0.99579,0.99941,0.995,0.86159,0.55109,0.42039,0.86535,0.0011884,0.0011884,0.0011884
31,3133.26,0.5603,0.48444,0.86112,0.99823,0.99306,0.99493,0.85394,0.57838,0.41687,0.87138,0.0011719,0.0011719,0.0011719
32,3256.65,0.55283,0.45731,0.85904,0.99706,0.9995,0.995,0.85214,0.56528,0.39707,0.87887,0.0011554,0.0011554,0.0011554
33,3353.44,0.54879,0.46466,0.86378,0.99162,0.99938,0.99459,0.86735,0.54057,0.38787,0.86118,0.00113889,0.00113889,0.00113889
34,3460.61,0.55641,0.47164,0.87374,0.99845,0.99902,0.995,0.85431,0.56816,0.39044,0.87443,0.00112239,0.00112239,0.00112239
35,3572.63,0.56236,0.45832,0.86476,0.99831,0.99953,0.995,0.87084,0.54458,0.38985,0.85771,0.00110589,0.00110589,0.00110589
36,3684.18,0.57933,0.46322,0.86981,0.99865,1,0.995,0.86737,0.53236,0.37865,0.85495,0.00108938,0.00108938,0.00108938
37,3783.64,0.56694,0.4521,0.87127,0.99834,1,0.995,0.86812,0.53731,0.36916,0.8509,0.00107288,0.00107288,0.00107288
38,3889.28,0.56288,0.44673,0.86293,0.99732,0.99966,0.995,0.88127,0.49612,0.35277,0.83797,0.00105638,0.00105638,0.00105638
39,3996.8,0.55079,0.43627,0.8604,0.99862,0.99919,0.995,0.86012,0.54144,0.36417,0.87227,0.00103987,0.00103987,0.00103987
40,4105.6,0.54932,0.43138,0.86874,0.99936,0.99951,0.995,0.87043,0.55493,0.36246,0.85771,0.00102337,0.00102337,0.00102337
41,4210.74,0.54826,0.43294,0.85432,0.99958,0.99991,0.995,0.8603,0.5675,0.3651,0.86478,0.00100687,0.00100687,0.00100687
42,4324.14,0.5364,0.42925,0.85795,0.99851,0.99981,0.995,0.87153,0.52,0.34147,0.84623,0.000990365,0.000990365,0.000990365
43,4449.81,0.55693,0.41928,0.86298,0.99765,0.9997,0.995,0.85923,0.57411,0.3651,0.87166,0.000973861,0.000973861,0.000973861
44,4554.03,0.55321,0.41004,0.86131,0.99892,0.99969,0.995,0.87239,0.54869,0.35701,0.85639,0.000957358,0.000957358,0.000957358
45,4657.32,0.53536,0.40722,0.86145,0.99777,0.99964,0.995,0.86363,0.57275,0.34959,0.87738,0.000940855,0.000940855,0.000940855
46,4754.05,0.54513,0.40939,0.86365,0.99692,0.99947,0.995,0.86396,0.55406,0.34579,0.87098,0.000924352,0.000924352,0.000924352
47,4848.36,0.56482,0.42411,0.86031,0.99796,1,0.995,0.87113,0.53504,0.34557,0.86389,0.000907848,0.000907848,0.000907848
48,4954.58,0.5101,0.39209,0.84732,0.99798,0.99982,0.995,0.87383,0.53777,0.33603,0.86079,0.000891345,0.000891345,0.000891345
49,5053.17,0.52069,0.38954,0.84955,0.99767,0.99984,0.995,0.8784,0.52372,0.32103,0.85848,0.000874842,0.000874842,0.000874842
50,5167.59,0.51236,0.37959,0.85345,0.99839,0.99972,0.995,0.87086,0.52515,0.324,0.85841,0.000858338,0.000858338,0.000858338
51,5267.55,0.51382,0.3987,0.85346,0.996,0.99947,0.995,0.86841,0.54136,0.34301,0.85501,0.000841835,0.000841835,0.000841835
52,5364.3,0.52611,0.39461,0.85223,0.99883,0.99306,0.99493,0.87115,0.53043,0.34384,0.85472,0.000825332,0.000825332,0.000825332
53,5458.25,0.4887,0.37736,0.84926,0.99592,0.99939,0.995,0.86379,0.54236,0.33287,0.86507,0.000808828,0.000808828,0.000808828
54,5550.12,0.53913,0.39088,0.8518,0.99684,0.99948,0.995,0.87309,0.53382,0.32683,0.864,0.000792325,0.000792325,0.000792325
55,5651.07,0.49476,0.38582,0.85287,0.99894,0.99958,0.995,0.86503,0.5376,0.32641,0.86102,0.000775822,0.000775822,0.000775822
56,5746.62,0.50194,0.37111,0.85562,0.99938,0.99843,0.995,0.88142,0.53571,0.32306,0.85635,0.000759318,0.000759318,0.000759318
57,5850.96,0.51685,0.3832,0.86192,0.9994,0.99782,0.995,0.87665,0.53813,0.32458,0.85957,0.000742815,0.000742815,0.000742815
58,5985.83,0.49259,0.37553,0.84695,0.99676,0.99942,0.995,0.87754,0.52993,0.3188,0.84792,0.000726312,0.000726312,0.000726312
59,6098.51,0.51014,0.36948,0.85251,0.99912,1,0.995,0.88303,0.51907,0.30197,0.85258,0.000709809,0.000709809,0.000709809
60,6212,0.50574,0.35363,0.85048,0.99905,1,0.995,0.88066,0.50776,0.30436,0.84285,0.000693305,0.000693305,0.000693305
61,6320.16,0.49546,0.36395,0.84435,0.99873,1,0.995,0.87981,0.51366,0.30461,0.85249,0.000676802,0.000676802,0.000676802
62,6422.82,0.49133,0.36503,0.84409,0.99885,1,0.995,0.88344,0.49551,0.29989,0.84974,0.000660299,0.000660299,0.000660299
63,6532.91,0.50002,0.36299,0.84445,0.99892,1,0.995,0.87913,0.52097,0.29964,0.85495,0.000643795,0.000643795,0.000643795
64,6638.98,0.47936,0.35325,0.83379,0.99892,1,0.995,0.86899,0.51378,0.29936,0.85381,0.000627292,0.000627292,0.000627292
65,6750.46,0.47743,0.35618,0.84678,0.9981,1,0.995,0.8866,0.5054,0.30361,0.84929,0.000610789,0.000610789,0.000610789
66,6856.38,0.52122,0.3669,0.84867,0.99833,1,0.995,0.88115,0.51907,0.31612,0.85276,0.000594286,0.000594286,0.000594286
67,6953.81,0.47995,0.34438,0.8353,0.9986,1,0.995,0.89345,0.49828,0.29419,0.85034,0.000577782,0.000577782,0.000577782
68,7057.41,0.48523,0.35769,0.8554,0.9987,1,0.995,0.87773,0.53531,0.2902,0.86018,0.000561279,0.000561279,0.000561279
69,7161.44,0.48301,0.34491,0.84255,0.99946,1,0.995,0.88529,0.51051,0.28856,0.85422,0.000544776,0.000544776,0.000544776
70,7263.17,0.49051,0.34525,0.84731,0.99912,0.99996,0.995,0.88028,0.52808,0.28718,0.85537,0.000528272,0.000528272,0.000528272
71,7371.71,0.45887,0.34114,0.83992,0.99926,1,0.995,0.88328,0.51565,0.28965,0.85318,0.000511769,0.000511769,0.000511769
72,7480.7,0.50883,0.34266,0.84139,0.99908,1,0.995,0.88739,0.50282,0.28384,0.84799,0.000495266,0.000495266,0.000495266
73,7587.26,0.45843,0.32603,0.83242,0.99861,1,0.995,0.88535,0.51519,0.28274,0.84926,0.000478762,0.000478762,0.000478762
74,7692,0.4397,0.31635,0.83,0.99857,1,0.995,0.89183,0.49897,0.27653,0.84736,0.000462259,0.000462259,0.000462259
75,7788.86,0.46504,0.32821,0.83645,0.99911,1,0.995,0.88649,0.51628,0.28113,0.8488,0.000445756,0.000445756,0.000445756
76,7900.21,0.46907,0.31692,0.83525,0.9991,1,0.995,0.88887,0.49645,0.27542,0.84456,0.000429253,0.000429253,0.000429253
77,8007.37,0.44969,0.3156,0.82503,0.99903,1,0.995,0.89067,0.489,0.26958,0.83824,0.000412749,0.000412749,0.000412749
