epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.15,0.82059,3.02311,0.91203,0.02355,0.81309,0.23704,0.139,0.7715,3.12865,0.85955,0.00018337,0.00018337,0.00018337
2,203.38,0.74691,1.00057,0.88347,0.02916,1,0.95142,0.68568,0.79934,2.43353,0.83766,0.000379614,0.000379614,0.000379614
3,291.117,0.7301,0.74021,0.85829,0.95498,0.47297,0.98024,0.77133,0.78259,2.37149,0.84721,0.000571898,0.000571898,0.000571898
4,386.215,0.75123,0.7183,0.87649,1,0.37295,0.98621,0.75971,0.84443,2.20295,0.87436,0.00076022,0.00076022,0.00076022
5,495.992,0.74091,0.68362,0.87873,1,0.36195,0.98652,0.77444,0.82087,2.13534,0.87762,0.000944582,0.000944582,0.000944582
6,600.846,0.67956,0.62365,0.86679,0.99083,0.5026,0.99144,0.79966,0.74319,1.99097,0.85396,0.00112498,0.00112498,0.00112498
7,685.2,0.68104,0.60678,0.85685,0.909,0.49174,0.97895,0.79428,0.70067,2.07277,0.84206,0.00130142,0.00130142,0.00130142
8,769.608,0.69188,0.60148,0.86157,0.96352,0.96848,0.9883,0.79619,0.76164,1.20838,0.87051,0.0014739,0.0014739,0.0014739
9,855.113,0.66136,0.56373,0.86168,0.95545,0.97934,0.97827,0.79698,0.72616,0.924,0.86793,0.00153497,0.00153497,0.00153497
10,940.188,0.64985,0.55376,0.8538,0.96507,0.98206,0.97256,0.78997,0.71482,0.68515,0.86371,0.00151847,0.00151847,0.00151847
11,1026.8,0.63578,0.51921,0.8549,0.96291,0.99894,0.97959,0.81048,0.70557,0.63791,0.86976,0.00150197,0.00150197,0.00150197
12,1112.35,0.62507,0.50628,0.85257,0.96418,0.99174,0.97301,0.81103,0.67186,0.52491,0.85757,0.00148546,0.00148546,0.00148546
13,1198.42,0.66273,0.51007,0.85884,0.96422,0.99513,0.98699,0.7985,0.77102,0.5927,0.87781,0.00146896,0.00146896,0.00146896
